fold,test_seasons,method,edge_threshold,n_candidates,n_bets,total_staked,total_profit,roi,roi_ci_lo,roi_ci_hi,roi_significant_positive,roi_significant_negative,mean_clv,clv_ci_lo,clv_ci_hi,clv_significant_positive,clv_significant_negative
1,2022-2022,Ensemble (stacked logistic regression),0.01,2312,2068,2068.0,-18.409548464608086,-0.008902102739172189,-0.058144218110453186,0.0428028943648079,False,False,0.004277560714970692,0.003127194337571148,0.005416375274109402,True,False
1,2022-2022,Ensemble (stacked logistic regression),0.02,2312,1804,1804.0,8.186707130929172,0.0045380859927545295,-0.05267618587382234,0.05878858898048557,False,False,0.0046704731664065765,0.003478888443703,0.0059666074728346044,True,False
1,2022-2022,Ensemble (stacked logistic regression),0.03,2312,1562,1562.0,-23.86613710119466,-0.015279217094234738,-0.07872991148160553,0.03822611099493981,False,False,0.005366794148747114,0.003984325120585876,0.006767951866749227,True,False
1,2022-2022,Ensemble (stacked logistic regression),0.05,2312,1130,1130.0,-20.609938287738682,-0.01823888344047671,-0.08818117021316733,0.05461468090876486,False,False,0.005955436039227601,0.004263325248696322,0.0075784734138486815,True,False
1,2022-2022,Ensemble (stacked logistic regression),0.08,2312,608,608.0,-11.273773067272113,-0.018542389913276502,-0.12803130520118391,0.08267683089628647,False,False,0.008226928722140724,0.005809099873014518,0.010674452603006116,True,False
2,2023-2023,GamePredictor,0.01,2385,2132,2132.0,-50.12580890842926,-0.023511167405454628,-0.0727892327220865,0.023519713171174378,False,False,0.00456152737927406,0.003508620289164212,0.005660532656410785,True,False
2,2023-2023,GamePredictor,0.02,2385,1885,1885.0,-58.45080808191921,-0.03100838625035502,-0.0827335976606456,0.018204587807007493,False,False,0.004650451036065815,0.0034408895575293408,0.005923803364485916,True,False
2,2023-2023,GamePredictor,0.03,2385,1647,1647.0,-83.39302907255212,-0.05063329026870196,-0.10536800166738448,0.0050254099292371375,False,False,0.0049636481683842295,0.0037240126448866043,0.006263915079890751,True,False
2,2023-2023,GamePredictor,0.05,2385,1205,1205.0,-43.229700058141965,-0.03587526975779416,-0.09896129711872965,0.03178003895504712,False,False,0.005958768055305428,0.004376763922955991,0.007483021406027894,True,False
2,2023-2023,GamePredictor,0.08,2385,677,677.0,-14.983188355445234,-0.022131740554571986,-0.10536451498760555,0.06266133308347703,False,False,0.008036177914537479,0.0060322775473468536,0.010208957067496983,True,False
2,2023-2023,Logistic regression (ERA/wRC+ proxy),0.01,2385,2128,2128.0,-58.48007142868096,-0.02748123657362827,-0.07341042599246643,0.017991508045886617,False,False,0.0012217257105321083,8.052842225072619e-05,0.002320648042538857,True,False
2,2023-2023,Logistic regression (ERA/wRC+ proxy),0.02,2385,1904,1904.0,-42.933653494400126,-0.02254918775966393,-0.07469597676376792,0.029350423536795418,False,False,0.0012488474368561083,0.00021706750081839645,0.0024142536039179793,True,False
2,2023-2023,Logistic regression (ERA/wRC+ proxy),0.03,2385,1690,1690.0,-39.1981828252726,-0.023194191020871363,-0.07776975388778788,0.03651384971520391,False,False,0.0012257937104321929,-9.962538290345582e-05,0.002549103111753416,False,False
2,2023-2023,Logistic regression (ERA/wRC+ proxy),0.05,2385,1278,1278.0,-61.05725694908863,-0.04777563141556231,-0.1164572704950307,0.019397970580724944,False,False,0.0007957847298182676,-0.0006124950958912913,0.002362324778593807,False,False
2,2023-2023,Logistic regression (ERA/wRC+ proxy),0.08,2385,784,784.0,-52.40966286814532,-0.0668490597807976,-0.1445290126580296,0.01894198471896168,False,False,0.0014666173259028255,-0.0005103985717597777,0.003396810854649831,False,False
2,2023-2023,Ensemble (stacked logistic regression),0.01,2385,2098,2098.0,-105.68162528358013,-0.05037255733249768,-0.09624268993325645,-0.001335586261633885,False,True,0.0036596876835594335,0.0025934740148168345,0.004747611018355479,True,False
2,2023-2023,Ensemble (stacked logistic regression),0.02,2385,1808,1808.0,-68.9337613588295,-0.03812708039758269,-0.09265577664610082,0.015596114061099167,False,False,0.004209044177585001,0.0029138690248187316,0.0053408658108382015,True,False
2,2023-2023,Ensemble (stacked logistic regression),0.03,2385,1548,1548.0,-61.24028897775856,-0.039560910192350494,-0.09651985111906249,0.014607008923503584,False,False,0.00450575524022253,0.00319862470953464,0.005869239109350982,True,False
2,2023-2023,Ensemble (stacked logistic regression),0.05,2385,1075,1075.0,-22.99729781141538,-0.021392835173409654,-0.08468325856734497,0.050832055235736,False,False,0.0054907583971872675,0.0038479179239864943,0.007177129173330093,True,False
2,2023-2023,Ensemble (stacked logistic regression),0.08,2385,541,541.0,-17.83307601227812,-0.03296317192657693,-0.13613291911908748,0.0735861564074152,False,False,0.007344290497281955,0.005074689964183115,0.009750398625774447,True,False
3,2024-2024,GamePredictor,0.01,2413,2207,2207.0,-92.11094820299093,-0.0417358170380566,-0.08720423204811667,0.007859820896308578,False,False,0.00032849435446648945,-0.000964728172752581,0.001647350476112044,False,False
3,2024-2024,GamePredictor,0.02,2413,1984,1984.0,-85.03247923326725,-0.042859112516767765,-0.09582418388058375,0.007979334337888798,False,False,0.0003841766551519569,-0.000996585256465802,0.0017357574506817062,False,False
3,2024-2024,GamePredictor,0.03,2413,1809,1809.0,-64.11092396319921,-0.03543998007915932,-0.08812540615455426,0.01942116584198073,False,False,2.3940052540869677e-05,-0.0014917572599904667,0.0014933407481597183,False,False
3,2024-2024,GamePredictor,0.05,2413,1443,1443.0,-61.57921568627452,-0.04267443914502739,-0.1057407124318889,0.020009640862582015,False,False,-1.0886327966616645e-05,-0.001727281091003889,0.0016126541713714015,False,False
3,2024-2024,GamePredictor,0.08,2413,945,945.0,-45.43000000000001,-0.04807407407407408,-0.12189523809523808,0.03474761904761901,False,False,-0.00020287787241549582,-0.0023731806639702324,0.0018284878211858443,False,False
3,2024-2024,Logistic regression (ERA/wRC+ proxy),0.01,2413,2146,2146.0,-102.59910140323205,-0.047809460113342056,-0.09717258627709399,-0.0014219842568622422,False,True,0.0035930998424869385,0.0022873153145102185,0.004883209483004422,True,False
3,2024-2024,Logistic regression (ERA/wRC+ proxy),0.02,2413,1904,1904.0,-89.97737243327262,-0.047257023336802845,-0.09499246608143798,0.0038765617023690797,False,False,0.004018027375513184,0.0025081847738108558,0.005525096104575836,True,False
3,2024-2024,Logistic regression (ERA/wRC+ proxy),0.03,2413,1665,1665.0,-85.2469974465777,-0.05119939786581243,-0.10684961311666245,-0.0020918132846938033,False,True,0.004356547080994334,0.002790785453451366,0.00592772837066789,True,False
3,2024-2024,Logistic regression (ERA/wRC+ proxy),0.05,2413,1216,1216.0,-87.32893347178694,-0.07181655713140374,-0.14249401130231248,-0.008760518298060259,False,True,0.004578255243743674,0.0027356012428816994,0.006283186342821035,True,False
3,2024-2024,Logistic regression (ERA/wRC+ proxy),0.08,2413,683,683.0,-16.824227741191713,-0.02463283710276971,-0.12041824719711079,0.07562256513861418,False,False,0.006256734411481714,0.0039105606652302255,0.008497180187025943,True,False
3,2024-2024,Ensemble (stacked logistic regression),0.01,2413,2153,2153.0,-85.43923951776013,-0.039683808415123145,-0.08689205380609925,0.010994090953221205,False,False,0.0022217874971486385,0.0009058977643844402,0.0036139535434754695,True,False
3,2024-2024,Ensemble (stacked logistic regression),0.02,2413,1907,1907.0,-79.01019651084437,-0.04143167095482138,-0.09453776950947942,0.006994653453428542,False,False,0.002727743790627006,0.0012440616022463605,0.0041126978590305795,True,False
3,2024-2024,Ensemble (stacked logistic regression),0.03,2413,1702,1702.0,-74.44423117563383,-0.04373926626065443,-0.10250688335286348,0.006950274508056562,False,False,0.002394532296737054,0.0008449090089708793,0.003998366824557562,True,False
3,2024-2024,Ensemble (stacked logistic regression),0.05,2413,1278,1278.0,-69.99812461897415,-0.054771615507804496,-0.12655488268197146,0.009958635498317818,False,False,0.0022211328995389774,0.00047427518094546057,0.003875253551166888,True,False
3,2024-2024,Ensemble (stacked logistic regression),0.08,2413,759,759.0,-59.24254237288135,-0.07805341551104263,-0.1697435017083138,0.008006336392666518,False,False,0.0020829190279697696,1.9965347872223926e-05,0.004179373245607725,True,False
4,2025-2025,GamePredictor,0.01,2414,2180,2180.0,16.870689641197565,0.007738848459264938,-0.03707107221712032,0.0535956682183117,False,False,0.0037373843906891653,0.002542081301623205,0.005138789169865549,True,False
4,2025-2025,GamePredictor,0.02,2414,1951,1951.0,5.2363604306869505,0.0026839366636017175,-0.04712143837343919,0.05140701780411153,False,False,0.0038187120897253462,0.002460531164195375,0.005118569374106869,True,False
4,2025-2025,GamePredictor,0.03,2414,1749,1749.0,-3.0386723284789596,-0.0017373769745448596,-0.05394316716831047,0.047656938675812284,False,False,0.0040075230344251605,0.002643598402743018,0.00540565604914044,True,False
4,2025-2025,GamePredictor,0.05,2414,1335,1335.0,3.6202686507141735,0.0027118117233814036,-0.05661523960452873,0.06439956253913454,False,False,0.0038065581738045257,0.002251616026033684,0.0054270657470891145,True,False
4,2025-2025,GamePredictor,0.08,2414,791,791.0,27.11594089385925,0.034280582672388434,-0.04345825824087004,0.1232908094221771,False,False,0.004949621174356232,0.0029082264403970143,0.0071085955023160565,True,False
4,2025-2025,Logistic regression (ERA/wRC+ proxy),0.01,2414,2159,2159.0,-15.884179269779416,-0.007357192806752856,-0.05317714514597737,0.040547803345151484,False,False,0.0017010004080960824,0.0004128349823352793,0.0029980739407570217,True,False
4,2025-2025,Logistic regression (ERA/wRC+ proxy),0.02,2414,1911,1911.0,9.842346803725242,0.005150364627799708,-0.04630716830552986,0.05216815070643718,False,False,0.0018106725698325645,0.0004258416373921677,0.0031315947216697484,True,False
4,2025-2025,Logistic regression (ERA/wRC+ proxy),0.03,2414,1659,1659.0,23.03032718276125,0.013882053756938668,-0.040990534930510435,0.06475560523477726,False,False,0.001918225642221854,0.00047367120513676706,0.0033994925708539115,True,False
4,2025-2025,Logistic regression (ERA/wRC+ proxy),0.05,2414,1215,1215.0,32.52638337522193,0.026770685905532454,-0.036427168399749105,0.09145952413754242,False,False,0.0024168153843207047,0.0007069019166872251,0.003980869539729128,True,False
4,2025-2025,Logistic regression (ERA/wRC+ proxy),0.08,2414,673,673.0,13.353010745782587,0.019841026368176206,-0.07096308226972471,0.11048702335281471,False,False,0.0013515473674343076,-0.0008624463241327993,0.003657442263373823,False,False
4,2025-2025,Ensemble (stacked logistic regression),0.01,2414,2149,2149.0,5.29271133867325,0.002462871725766985,-0.047859876536093575,0.052778024815217386,False,False,0.002700732509262862,0.0014500332426804618,0.003957726272020533,True,False
4,2025-2025,Ensemble (stacked logistic regression),0.02,2414,1881,1881.0,5.701503721069393,0.0030311024567088746,-0.04854147757241494,0.055479511616083534,False,False,0.002704955859903004,0.0013289619890883148,0.004084477569898605,True,False
4,2025-2025,Ensemble (stacked logistic regression),0.03,2414,1642,1642.0,18.736526923599854,0.01141079593398286,-0.04756982444271943,0.06898334390295947,False,False,0.0029788907671853956,0.0015391218142288788,0.004432829530181299,True,False
4,2025-2025,Ensemble (stacked logistic regression),0.05,2414,1208,1208.0,46.822939015595324,0.03876071110562527,-0.026315647824720515,0.10387293382934747,False,False,0.0036248405071332844,0.0019121829645510372,0.005448634344285229,True,False
4,2025-2025,Ensemble (stacked logistic regression),0.08,2414,633,633.0,-7.5908243929983055,-0.011991823685621336,-0.10825320296961548,0.08684458245580232,False,False,0.0032960301112218296,0.001149978837825851,0.005584489773724358,True,False
5,2026-2026,GamePredictor,0.01,1261,1130,1130.0,33.88651409077618,0.029988065567058568,-0.02999234989081417,0.09244417760178815,False,False,0.005609512946528783,0.00422022176790744,0.0069080063524271,True,False
5,2026-2026,GamePredictor,0.02,1261,980,980.0,56.02647690057209,0.05716987438833887,-0.010132488603211047,0.12646005266774457,False,False,0.0058860863227743355,0.004421286358307895,0.0073680977458005035,True,False
5,2026-2026,GamePredictor,0.03,1261,837,837.0,33.96508195115358,0.04057954832873785,-0.026629436429209372,0.1132317748665282,False,False,0.0068851145825882636,0.005271267835001499,0.008373501857045842,True,False
5,2026-2026,GamePredictor,0.05,1261,626,626.0,27.857701732765232,0.0445011209788582,-0.039670591125016405,0.13115489005456582,False,False,0.00806270150187132,0.006139478223739577,0.009818894756169975,True,False
5,2026-2026,GamePredictor,0.08,1261,327,327.0,20.907847340164675,0.06393837107083998,-0.058898996005538495,0.17974406457000197,False,False,0.009289544580752082,0.006827735356344477,0.011962078131909743,True,False
5,2026-2026,Logistic regression (ERA/wRC+ proxy),0.01,1261,1108,1108.0,13.946257639448312,0.012586875125855877,-0.047886189478867934,0.07516982406860406,False,False,0.003231454785893539,0.001792659494984556,0.004551631304731792,True,False
5,2026-2026,Logistic regression (ERA/wRC+ proxy),0.02,1261,967,967.0,-0.9415740040736544,-0.0009737063123822693,-0.06455760381717701,0.06919863397107118,False,False,0.003549140622033187,0.0021116814581524017,0.005040280708485678,True,False
5,2026-2026,Logistic regression (ERA/wRC+ proxy),0.03,1261,816,816.0,1.5068247012057228,0.001846598898536425,-0.07433811527524745,0.07474466460303271,False,False,0.00416051492607625,0.0026147947865353127,0.005713004670910214,True,False
5,2026-2026,Logistic regression (ERA/wRC+ proxy),0.05,1261,559,559.0,5.9018841648715465,0.01055793231640706,-0.08667241641316138,0.10599250699404246,False,False,0.004152210417559795,0.002199359217683142,0.006055427361090471,True,False
5,2026-2026,Logistic regression (ERA/wRC+ proxy),0.08,1261,277,277.0,-2.344410774410778,-0.008463576802926996,-0.14622225781973072,0.13140959057655807,False,False,0.005415515258728506,0.0024342128200613355,0.008419309072176008,True,False
5,2026-2026,Ensemble (stacked logistic regression),0.01,1261,1105,1105.0,-12.460260376453599,-0.011276253734347149,-0.07526063513613111,0.050396906847482804,False,False,0.005848381687603735,0.004538643162449383,0.007090864499091537,True,False
5,2026-2026,Ensemble (stacked logistic regression),0.02,1261,943,943.0,26.541762525423675,0.028146089634595625,-0.03567972258935867,0.09549300453534211,False,False,0.0068255355903897525,0.005400458490553134,0.008203368036691326,True,False
5,2026-2026,Ensemble (stacked logistic regression),0.03,1261,777,777.0,25.05452159582561,0.0322452015390291,-0.047204476021867066,0.11186666065035163,False,False,0.0077688039507504405,0.00623422818746639,0.0094532371148334,True,False
5,2026-2026,Ensemble (stacked logistic regression),0.05,1261,529,529.0,41.77699379744259,0.07897352324658335,-0.016312769366356516,0.16728582438761438,False,False,0.00897497522073403,0.007088414868042438,0.010903098149600625,True,False
5,2026-2026,Ensemble (stacked logistic regression),0.08,1261,240,240.0,24.92958204195053,0.1038732585081272,-0.034213344073209154,0.24829430746149106,False,False,0.011607424582535253,0.008516740618717485,0.014758796615358083,True,False
